"Clean Plaintiff","Plaintiff Type","2010","2011","2012","2013","2014"
"Walnut Apartment;","Misc","0","0","0","5","1"
"Ledo Properties, LLC; ","Misc","0","0","1","0","0"
"Edinburch Comm. School Corp                          ;","Government","0","0","0","1","0"
"Pinnacle Properties Development Group;","Misc","0","0","0","0","6"
"Waterloo Gardens Apartments;","Misc","0","0","0","1","1"
"Zidan Management Group, Inc.as managing agent for the owner of Marina Apartments; ","Misc","0","5","0","0","0"
"Advanced Debt Collection, Inc.; Keystone Property; ","Misc","0","0","2","0","0"
"Seymour O'Brien Manor Partners LP  dba Seymour O'Brien Manor Apartments;","Misc","0","0","1","1","0"
"MGM PROPERTY MANAGEMENT;","Misc","0","0","0","8","17"
"B&amp;S Property Management;","Misc","3","2","1","1","1"
"Canterbury Limited Partnership","Misc","46","81","3","22","200"
"Dawn Til Dusk Property Managemnt; ","Misc","0","0","0","0","3"
"Property Management Of Indiana;","Misc","1","0","1","1","0"
"Rolling Meadows Iii Llc Dba; Stonecrest Manor;","Misc","5","7","8","0","0"
"Beech  Grove Village Apartments; Beech Meadow Apartments; ","Misc","0","0","0","0","1"
"Churchill Ranch Apartments; ","Misc","0","10","10","0","31"
"Zidan Management Group Inc. as the managing agent for the owner of Sandstone Court Apartments;","Misc","0","0","0","0","1"
"Dixon Properties, Llc; ","Misc","2","0","0","0","0"
"Empirian Property Management As Managing Agent For The Owner Of Marabou Mills Ap; ","Misc","1","0","0","0","0"
"Westminister Apartments By Collecti                         ;","Misc","0","0","0","1","0"
"Greystone Village Apartments; Hidden Oak Estates Apartments; ","Misc","0","0","1","0","0"
"Albany Apartments; ","Misc","2","3","3","7","1"
"Pinebrook Apartments Homes By Colle                         ;","Misc","0","0","0","1","0"
"Carpack Properties, LLC; ","Misc","0","0","0","0","1"
"Fielding Court Apartments;","Misc","0","1","0","0","0"
"CITY OF MISHAWAKA;","Government","400","34","45","49","100"
"MAG MILE PROPERTIES LLC.;","Misc","0","0","0","1","0"
"Aspen Village Apartments; Dorfman Property Management; ","Misc","0","0","0","0","3"
"Rolling Meadows Iii Llc   Dba; Stonecrest Manor;","Misc","0","1","0","0","0"
"Indianapolis Property Managment; ","Misc","0","0","0","0","1"
"William Staruszkiewicz DBA Wilstar Properties; ","Misc","0","3","0","1","0"
"Vansaf Properties &amp; Invest.; ","Misc","2","1","0","0","0"
"BRADFORD PARK APARTMENTS BY MANAGING AGENT;","Misc","0","0","2","0","3"
"McKinley Mgmt as Mngn agnt own Cottages of Fall Creek; ","Misc","1","0","0","0","0"
"Tr Property Mgmt, Llc; ","Misc","0","3","0","0","0"
"Asset Acceptance","Debt Buyer","1312","1322","2700","1827","1262"
"Beechmill Apartments; Martinique Terrace Apartments; ","Misc","0","0","1","0","0"
"Crothersville Community Schools;","Government","0","0","21","13","16"
"Marion Housing Authority; Parkville Apartments;","Misc","0","0","2","0","0"
"North Glen Village;","Misc","16","10","24","17","13"
"TLL Properties, LLC; ","Misc","0","0","0","1","0"
"West Glen Village; Williamsburg On The Lake Apts.; ","Misc","0","1","0","0","0"
"K &amp; L Property Preservation; WOOD; ","Misc","0","1","0","0","0"
"Overlook Apartments;","Misc","0","0","2","3","2"
"Property Management Services LLC under contract w/ John Galt Investments; ","Misc","0","0","1","0","0"
"FARH dba Lakeside Pointe @ Nora Apartments; ","Misc","0","8","0","0","0"
"Rennaissance Property Management, LLC; ","Misc","0","0","0","1","0"
"VILLAGE GREEN TOWNHOMES;","Misc","0","0","1","0","2"
"LIFETIME  PROPERTIES; ","Misc","1","0","0","0","0"
"Prefered Real Estate Solutions; ","Misc","2","1","1","3","0"
"Briergate Apts. dba Fonseca Properties Inc.; ","Misc","0","2","0","0","0"
"Riley Village Homeowners;","Misc","3","0","0","0","0"
"American Homes 4 Rent Properties Three LLC;","Misc","0","0","0","2","5"
"Bloomington Properties I, LLC;","Misc","0","0","0","5","9"
"Edgewood Terrace Apartments; Ohio Street Townhomes; ","Misc","1","0","0","0","0"
"Jdc Properties, Llc                          ;","Misc","0","1","0","0","0"
"MER Properties Inc;","Misc","0","0","1","0","0"
"Lawrence Crossing Apartments.; ","Misc","0","0","0","1","0"
"Ingram Properties Inc.                          ; Ingram;","Misc","0","0","0","0","1"
"Columns Of Castleton Apartments; ","Misc","1","6","9","10","20"
"Summerlakes Property Owners Assn Inc;","Misc","0","6","0","0","0"
"SHILTON PROPERTIES;","Misc","0","1","0","0","0"
"Fonseca Apartment LLC; ","Misc","5","5","8","1","4"
"3 Metropolitan Group Property &amp; Casualty Ins.; ","Misc","0","0","1","0","0"
"M&amp;M Properties;","Misc","2","0","1","5","0"
"Huntington County Community School Corporation;","Government","176","119","183","86","70"
"Crestline Communities as Managing Agent for the Owner of Village Crossing Apartments;","Misc","0","0","0","0","1"
"SALT CREEK VALLEY COMMONS;","Misc","0","0","0","9","0"
"GRAYSTONE  VILLAGE APTS; ","Misc","11","0","0","0","0"
"Westpark Townhomes; Wildwood Village Apts; ","Misc","1","0","0","0","0"
"GULF SOUTH MEDICAL SUPPLY, INC.; ","Medical","0","1","0","0","0"
"JSJ Properties LLC/ Gracie Properties; ","Misc","1","0","0","0","0"
"dba Willow Glen Apartments;","Misc","0","0","1","0","0"
"Helen Louise Apts Dba Fonseca Properties Llc; ","Misc","3","6","0","10","1"
"Rausch Real Estate;","Misc","1","2","0","2","1"
"SUN COMMUNITIES  INC . AS MANAGING  AGENT AS THE OWNER OF WEST GLEN VILLAGE; ","Misc","8","7","0","0","0"
"CONSOLIDATED CITY OF INDIANAPOLIS; ","Government","0","5","0","0","0"
"Pinnacle Properties Dev.;","Misc","1","0","0","0","0"
"RTW Property Management; ","Misc","0","1","0","0","0"
"Godfrey; Pioneer Properties LLC;","Misc","0","1","0","0","0"
"Herman &amp; Kittle Properties, Inc. as managing agent for the owner of Canterbury House Apartments; ","Misc","0","0","0","0","4"
"Hartshire Lakes Apartments By Suess                         ;","Misc","0","1","0","0","0"
"GATEWAY CROSSING PROPERTY OWNERS ASSOCIATION INC.;","Misc","0","0","0","0","1"
"Berkley Commons Apartments; ","Misc","94","2","0","2","0"
"Hughes; RW Miller Real Estate, LLC;","Misc","0","0","0","0","1"
"ABERDEEN PROPERTY OWNERS ASSN INC;","Misc","2","0","4","0","0"
"Daily Southtown Inc.; ","Government","1","0","0","0","0"
"Charter Oak Apartments;","Misc","0","0","0","2","0"
"FDTM PROPERTIES;","Misc","0","0","0","0","2"
"Village At Grassy Creek Hoa, Inc.                          ;","Misc","0","1","0","0","0"
"Brigadier Apartments Llc; ","Misc","0","0","0","0","1"
"Kline Properties, Inc as Managing Agent for Beaker Group, LLC; ","Misc","0","1","0","0","0"
"KARENT VAL'S PROPERTY MGMT;","Misc","0","0","0","1","0"
"Nemec Properties Llc;","Misc","0","0","1","0","0"
"American Homes 4 Rent                          ; Properties Ten Llc                          ;","Misc","0","0","0","1","0"
"The Estates At Crystal Bay","Misc","1","0","370","314","244"
"Bradford Real Estate Holding Llc; ","Misc","0","0","1","0","0"
"PODIATRIC MEDICAL ASSOC;","Medical","0","0","1","0","0"
"Pedcor  Homes Corp Mg Agt Owner Echo Ridge Luxury Apartments; Pedcor  Homes Corporation Mg Agt Echo Ridge Luxury  Apts; ","Misc","0","0","0","2","0"
"Williamsburg Villages Hoa, Inc;","Misc","5","1","0","1","0"
"DNK2 PROPERTIES, LLC;","Misc","3","3","2","3","6"
"Barratt Asset Management, LLC; Oliver Flats Apartments; ","Misc","0","0","0","1","0"
"Triage Properties Llc; ","Misc","1","0","0","0","0"
"Kinnaman; Port O'Call Apartments LLC; ","Misc","1","0","0","0","0"
"Stiner Properties LLC;","Misc","1","0","0","0","1"
"Washington Village; ","Misc","0","1","0","0","0"
"M&amp;J Management; Mariners Village Apartments; ","Misc","0","1","0","0","0"
"Huntington County Com. School Corporation;","Government","0","0","6","115","60"
"Cole Properties;","Misc","0","1","11","3","5"
"Athens Utilities Board; ","Utility","0","0","0","1","0"
"AA PROPERTY MANAGEMENT;","Misc","7","10","22","24","26"
"Hoosier Christian Village Inc.; ","Misc","0","1","0","0","0"
"VUE PROPERTIES LLC;","Misc","1","0","0","0","0"
"Cedar Trace Apartments;","Misc","1","11","29","44","19"
"Equity Property Management; ","Misc","2","21","102","65","65"
"Abney Lake Apartments; Ashton Pointe Apartments; ","Misc","0","0","0","1","0"
"Comprehensive Imaging Assoc;","Medical","1","0","0","0","0"
"PEDIATRIC DENTAL CARE INC;","Medical","0","0","1","0","0"
"Cana Apartments;","Misc","13","8","4","4","3"
"Regency Consolidated D/B/A/ Kimber Green Apartment;","Misc","0","0","0","1","0"
"Axiom  Property Investments LLC; ","Misc","0","0","0","1","0"
"Real Property Managment, LLC; ","Misc","0","0","0","0","2"
"Fountain Park Apartments;","Misc","7","4","3","1","3"
"JTF Property Group, LLC/Christie VanSteenwyk; ","Misc","0","0","0","0","1"
"Three Rivers Property Management LLC;","Misc","0","0","0","0","2"
"Calicourt Properties; Riverwind Properties;","Misc","0","0","0","0","2"
"FAllwood Apartments By Collection Assignee Cardinal Accounts, Inc; Fallwood Apartments; Ivy Knoll Apartments BY Collection Assignee Cardinal Accounts; ","Misc","0","1","0","0","0"
"SUMMIT FORD APARTMENTS;","Misc","0","2","1","0","0"
"JRPD  Properties; ","Misc","0","0","0","0","1"
"Deer Creeke Apartments; Swaw;","Misc","0","0","0","1","0"
"Zenith Property Group, LLP; ","Misc","0","1","0","0","0"
"Taylor Properties Bana Corp;","Misc","1","0","0","0","0"
"Todd Thompson / TW Properties; ","Misc","0","0","0","1","0"
"Cross Lake Apartments;","Misc","6","0","1","1","0"
"Equitty Property Mgmt, LLC; ","Misc","0","0","0","6","0"
"PROPERTY MANAGEMENT SVR.;","Misc","2","0","0","0","0"
"M2 Properties LLC as managing agent for the owner of Abney Lake Apts.; ","Misc","0","9","0","0","0"
"D &amp; S Parker real Estate Ventures, LLC;","Misc","0","0","0","0","1"
"Walnut Tree Apartments, Inc.;","Misc","0","0","0","0","1"
"CREEKSIDE COMMONS EXTERIOR MAINTENANCE INC;","Misc","0","0","1","0","0"
"Elkhart Memorial High School;","Government","1","0","0","0","0"
"Washington Township Moose Lodge #2138; ","Government","0","0","0","0","1"
"S&amp;C Properties;","Misc","7","1","0","0","0"
"Marshall Properties;","Misc","3","3","2","2","0"
"D W Properties LLC;","Misc","0","1","0","0","1"
"Silver Property Mgmt mngn Silver Prop Mgmt; ","Misc","0","2","0","0","0"
"Town Of Middletown;","Government","0","7","1","1","0"
"High Park Apartments;","Misc","2","2","1","0","3"
"Complementary Family Medical Care;","Medical","0","1","0","0","0"
"Pinebrook Apartment Homes                          ;","Misc","1","1","2","1","0"
"Park Hoover Village Condominum Association, Inc.; ","Misc","0","0","0","0","1"
"David Drake Properties LLC;","Misc","0","0","0","0","1"
"Canterbury Apartments 1;","Misc","0","0","1","0","0"
"Kentucky Children's Radiologists;","Medical","1","0","0","0","0"
"FLAHERTY &amp; COLLINS PROPERTIES AS MANAGING AGENT FOR EMPIRIAN BROWNSBURG CROSSING;","Misc","0","0","0","4","0"
"PRAIRIE APARTMENTS APARTMENT;","Misc","1","0","1","0","0"
"Baker &amp; Penwell Properties; ","Misc","0","0","1","0","0"
"Community Healthcare System d/b/a CHS Care Network &amp; St. Mary Medical Center; ","Medical","0","0","0","0","1"
"Cooley Property Mgt LLC;","Misc","0","0","0","2","0"
"G&amp;J PROPERTY MANAGEMENT LLC;","Misc","0","1","0","0","0"
"Schmitt Property, LLC; ","Misc","0","0","0","1","0"
"Wellington Village Apts Dba Fonseca Properties Llc; ","Misc","11","2","0","0","0"
"Hoosier Court Apartments;","Misc","0","1","4","1","3"
"Discover Properties, LLC as successor in interest to Realty Wealth Advisors LLC mngn BLTREJV3 Indianapolis LLC; ","Misc","0","0","0","1","0"
"Ball; EMPIRIAN PROPERTY MANAGEMENT;","Misc","0","0","0","1","0"
"Trails Edge Apartments;","Misc","2","1","0","1","0"
"Oak Grove Christian Retirement Village, Inc.; ","Misc","1","0","0","0","0"
"Ridgebrook Village Mhp;","Misc","5","13","18","0","0"
"Cornerstone Real Estate Llc; ","Misc","0","2","0","0","0"
"Reflections Apartments of Indianapolis, LLC; ","Misc","0","0","8","52","87"
"K T Properties;","Misc","1","1","1","0","3"
"Discover Properties, LLC agent for BLT Homes; ","Misc","0","0","0","0","1"
"Fishburn Properties; Fishburn; ","Misc","0","1","0","0","0"
"Hillcrest Regal Manor Apartments;","Misc","0","0","0","0","2"
"Max Real Estate Property Mgt; ","Misc","0","0","0","1","0"
"Olde Towne Village Apartments;","Misc","0","0","0","1","0"
"DEMM PROPERTIES LLC; ","Misc","0","1","0","0","0"
"RW Miller Real Estate LLC;","Misc","0","0","0","0","9"
"DEL PILAR MEDICAL &amp; URGENT; ","Medical","1","0","0","0","0"
"Seymour O'Brien Manor Partners LP;","Misc","0","0","0","5","0"
"Discover Properties, LLC as managing agent for the onwer BLTREJV3 Indianapolis, LLC; ","Misc","0","0","0","5","0"
"Monon Park Apartments; ","Misc","5","0","1","2","2"
"Hubbard Property Services, LLC as managing agent for the owner of MLK Homes II; ","Misc","0","0","0","0","2"
"G.O.B. Properties, Llc; ","Misc","1","0","0","0","0"
"Atlas Collection","Collection Agency","1170","1009","1135","1176","1200"
"EMPIRIAN PROPERTY MANAGEMENT, INC.; ","Misc","0","1","0","0","1"
"Beech  Meadow Apartments; ","Misc","90","85","103","82","105"
"Town of Crothersville, Indiana; ","Government","0","0","0","0","1"
"Mt. Zion  Suburban Apartments; ","Misc","0","0","0","0","1"
"Wagner Properties;","Misc","0","0","1","0","0"
"Cornerstone Managed Properties;","Misc","81","64","0","0","0"
"Oliver Flats Apartments; ","Misc","0","0","0","2","9"
"Villages at Mills Crossing Apartments; ","Misc","0","75","61","0","0"
"Vz Property Management Llc;","Misc","0","2","3","2","3"
"Emergency Medical Group/Riverview; IMC Credit Service LLC assignee of Riverview Hospital;","Medical","6","6","0","0","0"
"Hart &amp; Hart Properties, Inc;","Misc","0","35","35","12","15"
"Powell; Scandia Apartments; ","Misc","0","0","0","1","0"
"Benlynn Properties;","Misc","2","0","0","0","0"
"Archer Pointe Apartments Lp;","Misc","0","0","2","0","0"
"Justus Property Management, Inc.;","Misc","3","0","0","0","1"
"Commons at Curry;","Misc","0","2","1","0","0"
"Vtt Properties;","Misc","1","0","0","0","0"
"Upland Apartments llc Shaker Village Apartments;","Misc","0","0","0","1","0"
"Arbor Ridge Apartments;","Misc","0","1","1","5","2"
"Eagle Nest Property Owners Ass'n, Inc; ","Misc","0","0","0","0","2"
"Harvey Property Management Group LLC; ","Misc","0","0","2","2","0"
"Equity Property Mgmt /Castleton Manor; ","Misc","4","0","0","0","0"
"KAREN &amp; VALS PROPERTY MGMT.;","Misc","0","0","0","1","0"
"Helvey and Associates","Collection Agency","122","545","497","434","243"
"Precision Property Mgmt. Co, Inc;","Misc","1","0","0","0","0"
"Albertson + Hays Properties;","Misc","1","0","0","0","0"
"Fort Wayne Pediatrics, P.C.; Sleep Centers Of Fort Wayne;","Medical","0","0","0","0","1"
"Dudley Property Management; ","Misc","0","4","13","28","27"
"KOUTS APARTMENTS;","Misc","3","0","2","0","0"
"Herron-Morton Property Management; ","Misc","0","0","1","0","0"
"Jamar Property Management, LLC;","Misc","0","1","1","0","3"
"VAL'S PROPERTY MGT;","Misc","0","0","0","0","1"
"Brittanywood Apartments; ","Misc","1","0","0","0","0"
"North Lake Apartments;","Misc","0","0","1","10","11"
"D.S.M. PROPERTIES; ","Misc","0","0","0","1","0"
"Central Collection Bureau Inc; Gracie Properties LLC; ","Misc","0","0","1","0","0"
"TOWN OF NORTH LIBERTY; ","Government","0","0","1","0","0"
"Farmington Lake Apartments.; ","Misc","0","0","0","0","51"
"BHAV LLC; Property Management of Louisville;","Misc","1","0","0","0","0"
"Steeple Chase Apartments;","Misc","0","0","0","0","7"
"North Haven Apartments;","Misc","5","15","10","15","15"
"Winchester Woods Apartments;","Misc","3","18","12","7","7"
"BROOKVIEW ESTATESPROPERTY OWNERS ASSOC.;","Misc","0","1","1","1","0"
"Bob Price-Property Management                          ;","Misc","0","0","0","1","0"
"Arbor Stone Apartments by Card Accts; ","Misc","0","4","0","0","0"
"Allied Property and Casualty Company; Allied Property and Casualty Compnay;","Misc","0","0","0","0","1"
"Brighton Park Apartments; Molina; ","Misc","0","0","0","0","1"
"Cybernet  Real Estate Inc; ","Misc","0","1","0","0","0"
"Pinecrest Manor Apts.;","Misc","0","0","1","0","0"
"Hart; Zidan Management For Marina Apartments; ","Misc","1","0","0","0","0"
"Flaherty &amp; Collins Properties For Woods Edge Apartments; ","Misc","0","0","5","0","0"
"Cyberica Property Corporation; ","Misc","0","0","1","0","0"
"AIMO as managing agent for the owner  FISHERMAN'S VILLAGE; ","Misc","2","0","0","0","0"
"Premier Real Estate Investments, LLC;","Misc","0","0","0","0","1"
"PENN-HARRIS-MADISON-SCHOOL COR;","Government","1","0","0","1","0"
"STONEY MEADOWS APARTMENTS, LLC;","Misc","0","0","0","0","1"
"Ivy Knoll Apartments By Collection Assignee Cardinal Accounts, Inc; Ivy Knoll Apartments; ","Misc","0","1","0","0","0"
"AVON VILLAGE, MHP;","Misc","0","0","0","1","0"
"ELON Property Management Co for Olivewood Apartments; ","Misc","0","0","17","0","0"
"Somerset Lakes Apartments; ","Misc","5","5","7","3","4"
"JRK Residential America, LLC as Managing Agent For Benjamin Court Apartments; ","Misc","0","0","0","0","1"
"ABERDEEN APARTMENTS; ABERDEEN APARTMETNS;","Misc","0","0","0","0","1"
"Renaissance Property Mgmt-Advanced Debt; ","Misc","1","0","0","0","0"
"Vtt Properties Inc;","Misc","3","14","17","21","9"
"S &amp; J Properties Llc;","Misc","0","1","0","0","0"
"AMP Residential as managing agent for the owner of English Village Apartments; ","Misc","0","0","0","0","4"
"J &amp; I Properties Llc;","Misc","0","0","1","0","0"
"International Village by Collection Assignee Cardinal Accounts, Inc.; Suncrest Apts; ","Misc","0","0","1","0","0"
"MBA PROPERTY AS MANAGING AGENT FOR DELAWARE COURT APARTMENTS; ","Misc","0","0","1","0","0"
"Briergate Apartments dba Fonseca Properties; ","Misc","0","0","0","0","3"
"Towne Properties Asset Mgmt Co mngn Lexington Park Apts; ","Misc","0","0","0","0","6"
"Village Green Mgmt Comp mngn The Grand Reserve at Geist; ","Misc","0","1","1","4","0"
"Jeanne Walters Real Estate, LLC;","Misc","0","1","1","8","4"
"Plum Creek North Property Owners Assn Inc;","Misc","0","0","0","5","1"
"Howard Webb Ins &amp; Real Estate;","Misc","0","0","1","0","0"
"Deer Creeke Apartments;","Misc","17","24","24","36","25"
"The Commons Homeowners Association;","Misc","0","0","1","0","0"
"TURNKEY PROPERTIES, LLC;","Misc","0","0","0","1","0"
"FLAHERTY &amp; COLLINS PROPERTIES AS MANAGING AGENT FOR SETTLERS RUN APARTMENTS;","Misc","0","0","10","3","0"
"SOUTH BEND SCHOOL CORPORTATION;","Government","0","1","0","0","0"
"M-Squared Real Estate, Llc; ","Misc","0","0","1","1","0"
"Greenwood Community School                          ;","Government","0","5","0","0","0"
"Village Green Management Company Square Apartments;","Misc","0","0","0","1","0"
"Polk Village Homeowners Ass'N, Inc                          ;","Misc","0","1","0","0","2"
"ORCHARD APARTMENTS;","Misc","2","0","4","5","17"
"Discover Properties, LLC mngn agent for Owner BLTREJV3 Indianapolis, LLC; ","Misc","0","0","0","7","0"
"G T Properties Llc;","Misc","1","0","0","0","0"
"FREEDOM 5 REAL ESTATE INV. LLC;","Misc","0","0","1","0","0"
"Newton Real Estate Llc;","Misc","0","0","0","1","0"
"Millenium Bloomington Apartments;","Misc","0","0","2","0","0"
"Beltway Surgery Center Llc; IMC CREDIT SERVICES ASSIGNEE OF ANESTHESIA CONSULTANTS INC;","Medical","1","0","0","0","0"
"CITY OF HOBART,IN;","Government","0","0","0","0","1"
"Paragon Rental Property;","Misc","0","5","0","2","0"
"Fort Wayne Property Group Llc;","Misc","7","2","0","0","0"
"MAGRANE PET MEDICAL CENTER;","Medical","3","0","1","2","3"
"4 For 4 Properties;","Misc","3","3","5","7","6"
"Broad Ripple Trails; Villages At Mill Crossing Apartments; ","Misc","1","0","0","0","0"
"Driver Solutions LLC","Misc","1833","2356","3406","2391","0"
"Franklin  Trace Property Owners Ass'n Inc; ","Misc","0","7","0","2","2"
"UR HOME PROPERTIES, LLC; ","Misc","0","3","6","3","2"
"Zidan Management Group, Inc. as managing agent for the owner of Country Lake Apartments; ","Misc","0","0","0","7","13"
"U'R HOME PROPERTIES, LLC; ","Misc","0","0","1","0","0"
"Zidan Management Group, Inc. as managing agent for Waterstone Place Apartments; ","Misc","0","51","27","24","24"
"DUNBAR COURT APARTMENTS RENEWAL, LLC; ","Misc","0","0","1","0","0"
"Dawes/Fretzin Dermatology Group LLC; ","Medical","0","0","0","1","0"
"CityView on Meridian fka The Summit Apartments; Presidential Estates; ","Misc","1","0","0","0","0"
"Cottages Of Fall Creek By Cardinal Accou; ","Misc","0","0","0","1","0"
"Hartford Square Apartments;","Misc","0","0","1","0","1"
"Towne properties Asset Management Co for the owner of Lexington Park Apts; ","Misc","0","0","0","8","0"
"Chateau Apartments;","Misc","0","0","0","4","3"
"Chapel Hill Apartments by Collection Assignee Cardinal Accounts Inc; Chapel Hill Apartments; ","Misc","0","14","20","32","11"
"Property Managment Group;","Misc","5","0","4","7","0"
"Suba Properties Inc; ","Misc","2","3","6","0","0"
"Andersen Real Estate;","Misc","1","0","0","0","0"
"Wilkinson Asset Management for Cheswick Village Apartments; ","Misc","0","0","9","0","0"
"Old Court Realty Llc Dba Bristol Square Apartments; ","Misc","1","0","0","0","0"
"South Bend Real Estate 4, LLC; South Bend Real Estate, LLC;","Misc","0","0","0","0","1"
"Marion Anesthesiology; ","Medical","0","0","0","2","1"
"Crestwood Village East Apartments; ","Misc","1","0","0","0","0"
"RiverRoad Apartments; ","Misc","4","0","0","0","0"
"BAYBERY PLACE APARTMENTS BY MANAGING AGENT IN GOOD COMPANY, LLC;","Misc","0","0","1","0","0"
"INDIAN SPRINGS APARTMENT;","Misc","0","0","1","1","0"
"CHESTERTON        PROPERTIES  LLC;","Misc","1","0","0","0","0"
"Towne Properties Asset Mgmt Co mngn Lexi; ","Misc","0","0","0","10","0"
"So 38th Street LLC","Misc","0","0","114","165","214"
"Auburn Hill Apartments; ","Misc","0","3","2","3","3"
"AA PROPERTY MANAGEMENT,LLC;","Misc","0","0","0","2","0"
"PENN-HARRIS-MADISON SCHOOL COR; Penn-Harris-Madison School Corp;","Government","0","0","0","0","1"
"Apex Property Management Inc; ","Misc","1","5","3","11","28"
"EDR Properties; Johnson;","Misc","0","1","0","0","0"
"The City Of Evansville Evansville Fire Department;","Government","7","19","0","0","0"
"FLAHERTY  COLLINS PROPERTIES  as managment  agent for the owner of WESTLAKE APTS; ","Misc","2","0","0","0","0"
"Pangea Cedars Apartments; ","Misc","0","0","0","36","63"
"Girod Property Mgmt;","Misc","0","0","0","1","0"
"Level Property Management, LLC; ","Misc","0","0","0","1","0"
"MEMORIAL LIGHTHOUSE MEDICAL;","Medical","9","12","0","0","0"
"Dorchester Properties LLC; ","Misc","0","0","6","8","2"
"D J Lanahan Property Management, LLC; ","Misc","0","0","0","1","0"
"Pmr Companies Llcd/B/A Woodbridge Place Apartments;","Misc","0","0","1","2","0"
"City Of Nappanee;","Government","0","1","0","0","0"
"T&amp;G Properties Llp;","Misc","2","1","1","2","0"
"Equity Property Managment; Equity Property Mngmt; ","Misc","0","0","0","1","0"
"Sand Castle Property Mgmt Inc;","Misc","1","0","0","0","0"
"UNION NORTH UNITED SCHOOL CORP;","Government","0","0","0","1","0"
"BANKO PROPERTY MANAGEMENT LLC.;","Misc","0","0","2","0","0"
"Advanced Debt Collection Inc; Garfield Park Properties LLC; ","Misc","1","0","0","0","0"
"Advisory Real Estate Group, Inc; ","Misc","1","0","0","0","0"
"LAWRENCE CO. PROPERTY MANAGEMENT;","Misc","0","0","0","1","0"
"M/A Managment Corp. d/b/a Runaway Bay Apartments;","Misc","0","0","0","0","1"
"West Central Properties;","Misc","0","0","0","4","0"
"DELPHI PROPERTIES, LLC;","Misc","0","0","4","0","0"
"Hug; Port O' Call Apartments LLC; ","Misc","0","0","0","1","0"
"Town Of Mooreland;","Government","0","13","0","0","0"
"Community Imaging Center North Hospital;","Medical","0","0","1","0","0"
"Idlewood Apartments; ","Misc","0","20","18","0","0"
"Village At Wayne Trace;","Misc","2","2","4","5","4"
"Cooley Property Managment LLC;","Misc","0","0","0","1","1"
"Empirian Property Management Inc. As Managing Agent For The Owner Of Olivewood A; ","Misc","9","0","0","0","0"
"SUMMITT FORD APARTMENTS;","Misc","0","1","0","0","0"
"RPM Property Management; ","Misc","0","0","0","0","1"
"Black Bear Apartments;","Misc","0","3","0","0","0"
"Hurwich Farms Apartments;","Misc","0","2","6","7","8"
"Maysville Landing Apartments;","Misc","1","1","0","11","13"
"21st Arlington Apartments, LLC as Managing Agent for Arlington Green Apartments; ","Misc","0","0","0","69","52"
"PORTAGE UTILITY   SERVICE     BOARD;","Utility","273","114","0","0","0"
"Village Apartments of Scottsburg;","Misc","0","2","1","1","0"
"Lifetime Properties Inc                          ;","Misc","0","0","1","3","0"
"Fox Village;","Misc","1","7","1","1","1"
"KBL Management LLC as agent for Warren Harbor Apartments; ","Misc","0","0","6","0","0"
"Alexander; Dias Property Group LLC; ","Misc","0","0","1","0","0"
"Silver Property Mgmt, LLC mngn Silver Prop Mgmt; ","Misc","0","1","0","0","0"
"The Villages Of Park Duvalle; ","Misc","1","0","0","0","0"
"St. Joseph Properties LLC; ","Misc","0","0","0","0","2"
"INDY PROPERTIES, LLC; ","Misc","0","1","0","0","0"
"City View Farm Apartments                          ;","Misc","0","0","1","0","1"
"EMPIRIAN PROPERTY  MANAGMENT  INC as managing agent for the owner of ARAGON WOOD; ","Misc","1","1","0","0","0"
"Kline Properties, Inc. as mngn agnt for Patrick McGeever; ","Misc","0","0","1","0","0"
"WATKINS; WRL Real Estate; ","Misc","0","1","0","0","0"
"Sedona Woods Property Owners Assn Inc;","Misc","5","0","4","1","1"
"RICKNOWLES PROPERTIES; ","Misc","0","2","1","0","0"
"Delta Properties Llc; ","Misc","0","0","1","0","0"
"R C Properties 1 Llc; ","Misc","0","0","0","1","0"
"Realty Mart Leasing and Property Management; ","Misc","0","0","0","1","0"
"McFarland Farms Property Owner's Ass'n, Inc.; ","Misc","0","1","0","0","0"
"Sheals-Johnson Property Managment; ","Misc","0","0","0","1","0"
"Ledo Properties LLC; ","Misc","1","2","1","1","0"
"Zidan Management Group, Inc for Marina Apartments; ","Misc","5","0","14","0","0"
"Acm Property Manaagement Services Llc D/B/A Arbors;","Misc","0","1","0","0","0"
"OLD COURT REALTY INDIANA LLC DBA BRISTOL SQUARE APARTMENTS; ","Misc","0","4","0","1","0"
"Klm Rental Properties Llc                          ;","Misc","0","0","0","0","1"
"Helen Louise Apts. Fonseca Properties LLC; ","Misc","0","1","0","0","0"
"COLD  SPRINGS MANOR APTS; ","Misc","1","0","0","0","0"
"Springlake Apartments;","Misc","1","0","0","0","0"
"Medical&amp;Prof Coll Svc Inc;","Medical","0","1","0","0","0"
"DBA Propertt as agent of Delaware Court Apartments; ","Misc","0","0","0","1","0"
"Legacy Park Apartments By;","Misc","4","2","0","0","0"
"Stonecreek Arbors Village Homeowners Association;","Misc","24","0","0","0","0"
"EAST POINTE APARTMENTS;","Misc","0","0","0","1","0"
"Ritter Manor Apts LLC; ","Misc","0","0","0","8","3"
"Postbrook East Apartments By Collection Assignee Cardinal Accounts Inc; ","Misc","0","0","53","120","0"
"Diane Rodgers dba Dr. 5 Properties; ","Misc","0","0","0","0","1"
